metric_name,condition_name,value,success_rate,contact_entry_rate,jam_rate,peak_force,contact_work,final_distance,contact_steps
success_rate,ppo_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.48,0.0
contact_entry_rate,ppo_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.48,0.0
jam_rate,ppo_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.48,0.0
peak_force,ppo_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.48,0.0
contact_work,ppo_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.48,0.0
final_distance,ppo_no_bc,25.48,0.0,0.0,0.0,0.0,0.0,25.48,0.0
contact_steps,ppo_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.48,0.0
success_rate,sac_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0
contact_entry_rate,sac_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0
jam_rate,sac_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0
peak_force,sac_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0
contact_work,sac_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0
final_distance,sac_no_bc,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0
contact_steps,sac_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0
success_rate,td3_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0
contact_entry_rate,td3_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0
jam_rate,td3_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0
peak_force,td3_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0
contact_work,td3_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0
final_distance,td3_no_bc,25.56,0.0,0.0,0.0,0.0,0.0,25.56,0.0
contact_steps,td3_no_bc,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0
success_rate,bc_only_stable_r32_p32,1.0,1.0,1.0,0.0,0.93,27.8721,0.9,29.97
contact_entry_rate,bc_only_stable_r32_p32,1.0,1.0,1.0,0.0,0.93,27.8721,0.9,29.97
jam_rate,bc_only_stable_r32_p32,0.0,1.0,1.0,0.0,0.93,27.8721,0.9,29.97
peak_force,bc_only_stable_r32_p32,0.93,1.0,1.0,0.0,0.93,27.8721,0.9,29.97
contact_work,bc_only_stable_r32_p32,27.8721,1.0,1.0,0.0,0.93,27.8721,0.9,29.97
final_distance,bc_only_stable_r32_p32,0.9,1.0,1.0,0.0,0.93,27.8721,0.9,29.97
contact_steps,bc_only_stable_r32_p32,29.97,1.0,1.0,0.0,0.93,27.8721,0.9,29.97
success_rate,repaired_mainline_bc_to_ppo,1.0,1.0,1.0,0.0,0.9,26.784000000000002,0.9,29.76
contact_entry_rate,repaired_mainline_bc_to_ppo,1.0,1.0,1.0,0.0,0.9,26.784000000000002,0.9,29.76
jam_rate,repaired_mainline_bc_to_ppo,0.0,1.0,1.0,0.0,0.9,26.784000000000002,0.9,29.76
peak_force,repaired_mainline_bc_to_ppo,0.9,1.0,1.0,0.0,0.9,26.784000000000002,0.9,29.76
contact_work,repaired_mainline_bc_to_ppo,26.784000000000002,1.0,1.0,0.0,0.9,26.784000000000002,0.9,29.76
final_distance,repaired_mainline_bc_to_ppo,0.9,1.0,1.0,0.0,0.9,26.784000000000002,0.9,29.76
contact_steps,repaired_mainline_bc_to_ppo,29.76,1.0,1.0,0.0,0.9,26.784000000000002,0.9,29.76
success_rate,dapg_lite_repaired_mainline,1.0,1.0,1.0,0.0,1.01,29.8556,0.9,29.56
contact_entry_rate,dapg_lite_repaired_mainline,1.0,1.0,1.0,0.0,1.01,29.8556,0.9,29.56
jam_rate,dapg_lite_repaired_mainline,0.0,1.0,1.0,0.0,1.01,29.8556,0.9,29.56
peak_force,dapg_lite_repaired_mainline,1.01,1.0,1.0,0.0,1.01,29.8556,0.9,29.56
contact_work,dapg_lite_repaired_mainline,29.8556,1.0,1.0,0.0,1.01,29.8556,0.9,29.56
final_distance,dapg_lite_repaired_mainline,0.9,1.0,1.0,0.0,1.01,29.8556,0.9,29.56
contact_steps,dapg_lite_repaired_mainline,29.56,1.0,1.0,0.0,1.01,29.8556,0.9,29.56
success_rate,fixed_impedance_rl_stable_r32_p32,0.95,0.95,1.0,0.0,1.07,39.04430000000001,0.92,36.49
contact_entry_rate,fixed_impedance_rl_stable_r32_p32,1.0,0.95,1.0,0.0,1.07,39.04430000000001,0.92,36.49
jam_rate,fixed_impedance_rl_stable_r32_p32,0.0,0.95,1.0,0.0,1.07,39.04430000000001,0.92,36.49
peak_force,fixed_impedance_rl_stable_r32_p32,1.07,0.95,1.0,0.0,1.07,39.04430000000001,0.92,36.49
contact_work,fixed_impedance_rl_stable_r32_p32,39.04430000000001,0.95,1.0,0.0,1.07,39.04430000000001,0.92,36.49
final_distance,fixed_impedance_rl_stable_r32_p32,0.92,0.95,1.0,0.0,1.07,39.04430000000001,0.92,36.49
contact_steps,fixed_impedance_rl_stable_r32_p32,36.49,0.95,1.0,0.0,1.07,39.04430000000001,0.92,36.49
success_rate,vi_full,1.0,1.0,1.0,0.0,0.7043623881469004,19.478554875545743,0.94875998532171,27.65416666666667
contact_entry_rate,vi_full,1.0,1.0,1.0,0.0,0.7043623881469004,19.478554875545743,0.94875998532171,27.65416666666667
jam_rate,vi_full,0.0,1.0,1.0,0.0,0.7043623881469004,19.478554875545743,0.94875998532171,27.65416666666667
peak_force,vi_full,0.7043623881469004,1.0,1.0,0.0,0.7043623881469004,19.478554875545743,0.94875998532171,27.65416666666667
contact_work,vi_full,19.478554875545743,1.0,1.0,0.0,0.7043623881469004,19.478554875545743,0.94875998532171,27.65416666666667
final_distance,vi_full,0.94875998532171,1.0,1.0,0.0,0.7043623881469004,19.478554875545743,0.94875998532171,27.65416666666667
contact_steps,vi_full,27.65416666666667,1.0,1.0,0.0,0.7043623881469004,19.478554875545743,0.94875998532171,27.65416666666667
success_rate,fi_full,0.0,0.0,1.0,0.0,0.3890985305995262,6.450929388564645,4.6113736948290205,16.579166666666666
contact_entry_rate,fi_full,1.0,0.0,1.0,0.0,0.3890985305995262,6.450929388564645,4.6113736948290205,16.579166666666666
jam_rate,fi_full,0.0,0.0,1.0,0.0,0.3890985305995262,6.450929388564645,4.6113736948290205,16.579166666666666
peak_force,fi_full,0.3890985305995262,0.0,1.0,0.0,0.3890985305995262,6.450929388564645,4.6113736948290205,16.579166666666666
contact_work,fi_full,6.450929388564645,0.0,1.0,0.0,0.3890985305995262,6.450929388564645,4.6113736948290205,16.579166666666666
final_distance,fi_full,4.6113736948290205,0.0,1.0,0.0,0.3890985305995262,6.450929388564645,4.6113736948290205,16.579166666666666
contact_steps,fi_full,16.579166666666666,0.0,1.0,0.0,0.3890985305995262,6.450929388564645,4.6113736948290205,16.579166666666666
success_rate,vi_motion_fi_k,0.0,0.0,1.0,0.04166666666666667,1.85447980833362,6.722489305209373,9.255605015714686,3.625
contact_entry_rate,vi_motion_fi_k,1.0,0.0,1.0,0.04166666666666667,1.85447980833362,6.722489305209373,9.255605015714686,3.625
jam_rate,vi_motion_fi_k,0.04166666666666667,0.0,1.0,0.04166666666666667,1.85447980833362,6.722489305209373,9.255605015714686,3.625
peak_force,vi_motion_fi_k,1.85447980833362,0.0,1.0,0.04166666666666667,1.85447980833362,6.722489305209373,9.255605015714686,3.625
contact_work,vi_motion_fi_k,6.722489305209373,0.0,1.0,0.04166666666666667,1.85447980833362,6.722489305209373,9.255605015714686,3.625
final_distance,vi_motion_fi_k,9.255605015714686,0.0,1.0,0.04166666666666667,1.85447980833362,6.722489305209373,9.255605015714686,3.625
contact_steps,vi_motion_fi_k,3.625,0.0,1.0,0.04166666666666667,1.85447980833362,6.722489305209373,9.255605015714686,3.625
success_rate,fi_motion_vi_k,1.0,1.0,1.0,0.0,1.9599079921444271,16.33256660120356,0.8036113209363807,8.333333333333334
contact_entry_rate,fi_motion_vi_k,1.0,1.0,1.0,0.0,1.9599079921444271,16.33256660120356,0.8036113209363807,8.333333333333334
jam_rate,fi_motion_vi_k,0.0,1.0,1.0,0.0,1.9599079921444271,16.33256660120356,0.8036113209363807,8.333333333333334
peak_force,fi_motion_vi_k,1.9599079921444271,1.0,1.0,0.0,1.9599079921444271,16.33256660120356,0.8036113209363807,8.333333333333334
contact_work,fi_motion_vi_k,16.33256660120356,1.0,1.0,0.0,1.9599079921444271,16.33256660120356,0.8036113209363807,8.333333333333334
final_distance,fi_motion_vi_k,0.8036113209363807,1.0,1.0,0.0,1.9599079921444271,16.33256660120356,0.8036113209363807,8.333333333333334
contact_steps,fi_motion_vi_k,8.333333333333334,1.0,1.0,0.0,1.9599079921444271,16.33256660120356,0.8036113209363807,8.333333333333334
success_rate,tuned_fi_k,0.0,0.0,1.0,0.0,0.27355407923734226,5.816443609783991,3.70476326331813,21.262500000000003
contact_entry_rate,tuned_fi_k,1.0,0.0,1.0,0.0,0.27355407923734226,5.816443609783991,3.70476326331813,21.262500000000003
jam_rate,tuned_fi_k,0.0,0.0,1.0,0.0,0.27355407923734226,5.816443609783991,3.70476326331813,21.262500000000003
peak_force,tuned_fi_k,0.27355407923734226,0.0,1.0,0.0,0.27355407923734226,5.816443609783991,3.70476326331813,21.262500000000003
contact_work,tuned_fi_k,5.816443609783991,0.0,1.0,0.0,0.27355407923734226,5.816443609783991,3.70476326331813,21.262500000000003
final_distance,tuned_fi_k,3.70476326331813,0.0,1.0,0.0,0.27355407923734226,5.816443609783991,3.70476326331813,21.262500000000003
contact_steps,tuned_fi_k,21.262500000000003,0.0,1.0,0.0,0.27355407923734226,5.816443609783991,3.70476326331813,21.262500000000003
